Time;Deal;Symbol;Type;Direction;Volume;Price;Order;Commission;Swap;Profit;Balance;Comment;
2025.01.01 00:00:00;1;;balance;;;;;0.00;0.00;1 000.00;1 000.00;;
2025.01.16 19:20:00;2;GOLD;buy;in;0.01;2 722.37;2;0.00;0.00;0.00;1 000.00;Grip;
2025.01.16 21:05:17;3;GOLD;buy;in;0.01;2 717.42;3;0.00;0.00;0.00;1 000.00;Grip;
2025.01.17 01:10:00;4;GOLD;buy;in;0.01;2 715.24;4;0.00;0.00;0.00;1 000.00;Grip;
2025.01.17 02:13:00;5;GOLD;buy;in;0.01;2 714.92;5;0.00;0.00;0.00;1 000.00;Grip;
2025.01.17 12:41:39;6;GOLD;sell;out;0.01;2 702.77;6;0.00;0.00;- 19.60; 980.40;;
2025.01.17 12:41:40;7;GOLD;sell;out;0.01;2 702.76;7;0.00;0.00;- 14.66; 965.74;;
2025.01.17 12:41:40;8;GOLD;sell;out;0.01;2 702.84;8;0.00;0.00;- 12.40; 953.34;;
2025.01.17 12:41:40;9;GOLD;sell;out;0.01;2 702.84;9;0.00;0.00;- 12.08; 941.26;;
2025.01.21 14:16:00;10;GOLD;buy;in;0.01;2 723.57;10;0.00;0.00;0.00; 941.26;Grip;
2025.01.21 16:08:00;11;GOLD;buy;in;0.01;2 726.89;11;0.00;0.00;0.00; 941.26;Grip;
2025.01.21 17:28:00;12;GOLD;buy;in;0.01;2 736.47;12;0.00;0.00;0.00; 941.26;Grip;
2025.01.21 18:47:51;13;GOLD;buy;in;0.01;2 743.11;13;0.00;0.00;0.00; 941.26;Grip;
2025.01.24 04:14:43;14;GOLD;sell;out;0.01;2 768.53;14;0.00;0.00; 44.96; 986.22;tp 2768.53;
2025.01.24 04:38:02;15;GOLD;sell;out;0.01;2 771.92;15;0.00;0.00; 45.03;1 031.25;tp 2771.88;
2025.01.24 05:29:00;16;GOLD;buy;in;0.01;2 773.05;16;0.00;0.00;0.00;1 031.25;Grip;
2025.01.24 08:32:00;17;GOLD;buy;in;0.01;2 776.88;17;0.00;0.00;0.00;1 031.25;Grip;
2025.01.24 15:13:17;18;GOLD;sell;out;0.01;2 781.51;18;0.00;0.00; 45.04;1 076.29;tp 2781.51;
2025.01.24 16:45:01;19;GOLD;buy;in;0.01;2 782.27;19;0.00;0.00;0.00;1 076.29;Grip;
2025.01.27 09:28:51;20;GOLD;sell;out;0.01;2 748.22;20;0.00;0.00; 5.11;1 081.40;;
2025.01.27 09:28:51;21;GOLD;sell;out;0.01;2 748.24;21;0.00;0.00;- 24.81;1 056.59;;
2025.01.27 09:28:52;22;GOLD;sell;out;0.01;2 748.15;22;0.00;0.00;- 28.73;1 027.86;;
2025.01.27 09:28:52;23;GOLD;sell;out;0.01;2 747.99;23;0.00;0.00;- 34.28; 993.58;;
2025.01.28 21:58:00;24;GOLD;buy;in;0.01;2 765.03;24;0.00;0.00;0.00; 993.58;Grip;
2025.01.28 22:13:58;25;GOLD;buy;in;0.01;2 764.85;25;0.00;0.00;0.00; 993.58;Grip;
2025.01.28 22:36:00;26;GOLD;buy;in;0.01;2 764.36;26;0.00;0.00;0.00; 993.58;Grip;
2025.01.29 04:33:13;27;GOLD;buy;in;0.01;2 765.58;27;0.00;0.00;0.00; 993.58;Grip;
2025.01.29 21:00:26;28;GOLD;sell;out;0.01;2 747.73;28;0.00;0.00;- 17.30; 976.28;;
2025.01.29 21:00:26;29;GOLD;sell;out;0.01;2 747.77;29;0.00;0.00;- 17.08; 959.20;;
2025.01.29 21:00:26;30;GOLD;sell;out;0.01;2 747.49;30;0.00;0.00;- 16.87; 942.33;;
2025.01.29 21:00:26;31;GOLD;sell;out;0.01;2 747.55;31;0.00;0.00;- 18.03; 924.30;;
2025.01.30 06:29:00;32;GOLD;buy;in;0.01;2 762.40;32;0.00;0.00;0.00; 924.30;Grip;
2025.01.30 07:09:50;33;GOLD;buy;in;0.01;2 761.29;33;0.00;0.00;0.00; 924.30;Grip;
2025.01.30 07:55:00;34;GOLD;buy;in;0.01;2 760.75;34;0.00;0.00;0.00; 924.30;Grip;
2025.01.30 09:36:04;35;GOLD;buy;in;0.01;2 766.08;35;0.00;0.00;0.00; 924.30;Grip;
